order_id,customer_id,product_id,order_date,qty,discount_rate
O2024000001,C000787,P00159,2024-01-01,1,0.0
O2024000002,C000248,P00161,2024-01-01,2,0.05
O2024000003,C001306,P00142,2024-01-01,2,0.0
O2024000004,C002184,P00178,2024-01-01,1,0.05
O2024000005,C000397,P00092,2024-01-01,2,0.0
O2024000006,C001263,P00153,2024-01-01,1,0.0
O2024000007,C000759,P00181,2024-01-01,1,0.05
O2024000008,C001170,P00073,2024-01-01,1,0.05
O2024000009,C002410,P00128,2024-01-01,1,0.15
O2024000010,C000255,P00129,2024-01-01,1,0.0
O2024000011,C002240,P00113,2024-01-01,2,0.1
O2024000012,C001947,P00111,2024-01-01,2,0.0
O2024000013,C001787,P00031,2024-01-01,2,0.05
O2024000014,C002891,P00073,2024-01-01,1,0.0
O2024000015,C000453,P00090,2024-01-01,3,0.0
O2024000016,C000982,P00007,2024-01-01,1,0.1
O2024000017,C000592,P00036,2024-01-01,1,0.0
O2024000018,C000259,P00155,2024-01-01,1,0.05
O2024000019,C002253,P00019,2024-01-01,1,0.05
O2024000020,C001085,P00146,2024-01-01,2,0.0
O2024000021,C001658,P00181,2024-01-01,1,0.03
O2024000022,C002755,P00128,2024-01-01,1,0.15
O2024000023,C002725,P00020,2024-01-01,1,0.05
O2024000024,C001984,P00021,2024-01-01,1,0.15
O2024000025,C001136,P00019,2024-01-01,2,0.05
O2024000026,C002349,P00161,2024-01-01,1,0.0
O2024000027,C000691,P00092,2024-01-01,1,0.0
O2024000028,C001850,P00197,2024-01-01,1,0.0
O2024000029,C000141,P00076,2024-01-01,3,0.0
O2024000030,C000749,P00018,2024-01-01,4,0.0
O2024000031,C001514,P00018,2024-01-01,1,0.0
O2024000032,C002083,P00036,2024-01-01,1,0.0
O2024000033,C001911,P00050,2024-01-01,1,0.0
O2024000034,C000594,P00126,2024-01-01,1,0.05
O2024000035,C002417,P00109,2024-01-02,1,0.1
O2024000036,C002582,P00051,2024-01-02,1,0.05
O2024000037,C001053,P00062,2024-01-02,3,0.1
O2024000038,C001429,P00051,2024-01-02,1,0.2
O2024000039,C000952,P00090,2024-01-02,4,0.0
O2024000040,C002926,P00075,2024-01-02,1,0.03
O2024000041,C000507,P00078,2024-01-02,1,0.03
O2024000042,C002429,P00102,2024-01-02,1,0.0
O2024000043,C002550,P00032,2024-01-02,1,0.0
O2024000044,C001038,P00112,2024-01-02,2,0.1
O2024000045,C002912,P00043,2024-01-02,2,0.1
O2024000046,C000675,P00141,2024-01-02,1,0.05
O2024000047,C000835,P00158,2024-01-02,1,0.0
O2024000048,C002614,P00068,2024-01-02,1,0.0
O2024000049,C001560,P00169,2024-01-02,1,0.15
O2024000050,C001129,P00059,2024-01-02,1,0.0
O2024000051,C002515,P00048,2024-01-02,2,0.0
O2024000052,C002712,P00054,2024-01-02,1,0.05
O2024000053,C001696,P00037,2024-01-02,2,0.05
O2024000054,C000411,P00143,2024-01-02,1,0.0
O2024000055,C002253,P00090,2024-01-02,1,0.05
O2024000056,C001758,P00042,2024-01-02,1,0.0
O2024000057,C001557,P00179,2024-01-02,1,0.0
O2024000058,C001872,P00095,2024-01-02,1,0.05
O2024000059,C001527,P00145,2024-01-02,2,0.1
O2024000060,C000287,P00004,2024-01-02,2,0.0
O2024000061,C001219,P00103,2024-01-02,1,0.0
O2024000062,C000998,P00004,2024-01-02,2,0.1
O2024000063,C002499,P00065,2024-01-02,1,0.0
O2024000064,C002764,P00159,2024-01-02,2,0.0
O2024000065,C000962,P00170,2024-01-02,2,0.0
O2024000066,C001680,P00065,2024-01-02,1,0.0
O2024000067,C001148,P00091,2024-01-02,2,0.0
