시군구,단지명,계약월,전용면적(㎡),거래금액_만원,거래금액_억원,면적구간
서울특별시 강남구 자곡동,강남자곡아이파크,2024-12-01,59.96,134500,13.45,40-60㎡
서울특별시 강남구 도곡동,도곡렉슬,2024-12-01,120.8233,365000,36.5,120㎡ 초과
서울특별시 강남구 삼성동,삼성동힐스테이트 1단지,2024-12-01,84.236,288000,28.8,60-85㎡
서울특별시 강남구 역삼동,역삼푸르지오,2024-12-01,59.8848,220000,22.0,40-60㎡
서울특별시 강남구 논현동,동부센트레빌,2024-12-01,84.9875,179000,17.9,60-85㎡
서울특별시 강남구 개포동,디에이치아너힐즈,2024-12-01,94.8407,402500,40.25,85-120㎡
서울특별시 강남구 논현동,신동아(22),2024-12-01,35.73,88800,8.88,40㎡ 이하
서울특별시 강남구 압구정동,한양2,2024-12-01,175.92,645000,64.5,120㎡ 초과
서울특별시 강남구 역삼동,역삼I'PARK,2024-12-01,116.285,321500,32.15,85-120㎡
서울특별시 강남구 개포동,경남1,2024-12-01,96.98,273000,27.3,85-120㎡
서울특별시 강남구 도곡동,현대그린1,2024-12-01,84.93,171000,17.1,60-85㎡
서울특별시 강남구 개포동,경남1,2024-12-01,123.28,340000,34.0,120㎡ 초과
서울특별시 강남구 삼성동,LG선릉에클라트(B),2024-12-01,36.35,31800,3.18,40㎡ 이하
서울특별시 강남구 개포동,현대2,2024-12-01,84.81,262500,26.25,60-85㎡
서울특별시 강남구 도곡동,도곡쌍용예가,2024-12-01,207.52,285000,28.5,120㎡ 초과
서울특별시 강남구 압구정동,"현대2차(10,11,20,23,24,25동)",2024-12-01,160.28,680000,68.0,120㎡ 초과
서울특별시 강남구 도곡동,삼성래미안,2024-12-01,122.81,292000,29.2,120㎡ 초과
서울특별시 강남구 삼성동,현대힐스테이트2단지,2024-12-01,40.763,149000,14.9,40-60㎡
서울특별시 강남구 대치동,"쌍용대치아파트1동,2동,3동,5동,6동",2024-12-01,83.56,301500,30.15,60-85㎡
서울특별시 강남구 도곡동,타워팰리스1,2024-12-01,244.66,780000,78.0,120㎡ 초과
서울특별시 강남구 논현동,아크로힐스논현,2024-12-01,84.074,240000,24.0,60-85㎡
서울특별시 강남구 논현동,마일스디오빌,2024-12-01,36.29,39800,3.98,40㎡ 이하
서울특별시 강남구 역삼동,테헤란아이파크,2024-12-01,70.8333,250000,25.0,60-85㎡
서울특별시 강남구 압구정동,"현대5차(71,72동)",2024-12-01,82.23,480000,48.0,60-85㎡
서울특별시 강남구 압구정동,신현대9차,2024-12-01,152.28,590000,59.0,120㎡ 초과
서울특별시 강남구 삼성동,청구아파트,2024-12-01,84.99,229000,22.9,60-85㎡
서울특별시 강남구 개포동,성원대치2단지아파트,2024-12-01,33.18,104000,10.4,40㎡ 이하
서울특별시 강남구 일원동,디에이치자이개포,2024-12-01,84.73,330000,33.0,60-85㎡
서울특별시 강남구 논현동,신동아(22),2024-12-01,35.73,85000,8.5,40㎡ 이하
서울특별시 강남구 압구정동,한양1차(영동한양),2024-12-01,63.87,388000,38.8,60-85㎡
서울특별시 강남구 도곡동,도곡우성아파트,2024-12-01,84.83,198000,19.8,60-85㎡
서울특별시 강남구 자곡동,래미안포레,2024-12-01,59.97,138000,13.8,40-60㎡
서울특별시 강남구 도곡동,우성4,2024-12-01,152.74,405000,40.5,120㎡ 초과
서울특별시 강남구 논현동,동양파라곤,2024-12-01,160.33,370000,37.0,120㎡ 초과
서울특별시 강남구 도곡동,아카데미스위트1,2024-12-01,122.07,220000,22.0,120㎡ 초과
서울특별시 강남구 압구정동,"현대7차(73~77,82,85동)",2024-12-01,144.2,648000,64.8,120㎡ 초과
서울특별시 강남구 대치동,한보미도맨션2,2024-12-01,115.05,355000,35.5,85-120㎡
서울특별시 강남구 도곡동,도곡2차I'PARK,2024-12-01,198.13,310000,31.0,120㎡ 초과
서울특별시 강남구 도곡동,아카데미스위트1,2024-12-01,164.87,347800,34.78,120㎡ 초과
서울특별시 강남구 압구정동,"현대6차(78~81,83,84,86,87동)",2024-12-01,196.7,795000,79.5,120㎡ 초과
서울특별시 강남구 수서동,까치마을,2024-12-01,39.6,103200,10.32,40㎡ 이하
서울특별시 강남구 자곡동,강남한양수자인(4단지),2024-12-01,114.46,199000,19.9,85-120㎡
서울특별시 강남구 청담동,현대아파트,2024-12-01,84.92,179000,17.9,60-85㎡
서울특별시 강남구 수서동,수서한아름,2024-12-01,97.63,180000,18.0,85-120㎡
서울특별시 강남구 역삼동,경남아너스빌,2024-12-01,81.013,147000,14.7,60-85㎡
서울특별시 강남구 세곡동,강남데시앙파크,2024-12-01,84.95,120000,12.0,60-85㎡
서울특별시 강남구 도곡동,삼익,2024-12-01,104.01,191000,19.1,85-120㎡
서울특별시 강남구 대치동,동부센트레빌,2024-12-01,121.74,460000,46.0,120㎡ 초과
서울특별시 강남구 대치동,동부센트레빌,2024-12-01,145.83,520000,52.0,120㎡ 초과
서울특별시 강남구 도곡동,타워팰리스2,2024-12-01,164.99,470000,47.0,120㎡ 초과
서울특별시 강남구 개포동,우성8,2024-12-01,79.61,225000,22.5,60-85㎡
서울특별시 강남구 개포동,디에이치아너힐즈,2024-12-01,84.6348,324000,32.4,60-85㎡
서울특별시 강남구 개포동,대치푸르지오발라드,2024-12-01,41.3882,103632,10.3632,40-60㎡
서울특별시 강남구 대치동,래미안대치팰리스,2024-12-01,94.49,400000,40.0,85-120㎡
서울특별시 강남구 압구정동,신현대9차,2024-12-01,152.39,705000,70.5,120㎡ 초과
서울특별시 강남구 압구정동,신현대12차,2024-12-01,110.82,510000,51.0,85-120㎡
서울특별시 강남구 역삼동,테헤란아이파크,2024-12-01,92.6232,275000,27.5,85-120㎡
서울특별시 강남구 개포동,개포6차우성아파트1동~8동,2024-12-01,79.97,208500,20.85,60-85㎡
서울특별시 강남구 개포동,현대1차101동~106동,2024-12-01,128.62,308000,30.8,120㎡ 초과
서울특별시 강남구 개포동,우성8,2024-12-01,79.61,219000,21.9,60-85㎡
서울특별시 강남구 압구정동,미성2차,2024-12-01,140.9,459000,45.9,120㎡ 초과
서울특별시 강남구 역삼동,현대까르띠에710,2024-12-01,149.7,300000,30.0,120㎡ 초과
서울특별시 강남구 세곡동,강남데시앙파크,2024-12-01,84.95,100000,10.0,60-85㎡
서울특별시 강남구 역삼동,우림루미아트2,2024-12-01,23.66,21000,2.1,40㎡ 이하
서울특별시 강남구 역삼동,대림역삼,2024-12-01,84.96,185000,18.5,60-85㎡
서울특별시 강남구 압구정동,현대13차(208~211동),2024-12-01,105.31,500000,50.0,85-120㎡
서울특별시 강남구 압구정동,현대8차(성수현대:91~95동),2024-12-01,163.67,645000,64.5,120㎡ 초과
서울특별시 강남구 개포동,래미안블레스티지,2024-12-01,84.943,280000,28.0,60-85㎡
서울특별시 강남구 청담동,청담자이,2024-12-01,49.593,205000,20.5,40-60㎡
서울특별시 강남구 수서동,수서한아름,2024-12-01,97.63,182500,18.25,85-120㎡
서울특별시 강남구 수서동,강남 더샵 포레스트,2024-12-01,124.5792,290000,29.0,120㎡ 초과
서울특별시 강남구 역삼동,e-편한세상,2024-12-01,59.606,217800,21.78,40-60㎡
서울특별시 강남구 도곡동,경남,2024-12-01,59.76,163500,16.35,40-60㎡
서울특별시 강남구 논현동,아크로힐스논현,2024-12-01,84.074,232000,23.2,60-85㎡
서울특별시 강남구 대치동,한보미도맨션1,2024-12-01,84.48,335000,33.5,60-85㎡
서울특별시 강남구 도곡동,도곡렉슬,2024-12-01,84.9984,312000,31.2,60-85㎡
서울특별시 강남구 자곡동,강남한양수자인(4단지),2024-12-01,114.32,180000,18.0,85-120㎡
서울특별시 강남구 압구정동,한양1차(영동한양),2024-12-01,63.87,385000,38.5,60-85㎡
서울특별시 강남구 수서동,까치마을,2024-12-01,34.44,89000,8.9,40㎡ 이하
서울특별시 강남구 압구정동,미성2차,2024-12-01,140.9,525000,52.5,120㎡ 초과
서울특별시 강남구 자곡동,강남한양수자인(4단지),2024-12-01,114.32,180000,18.0,85-120㎡
서울특별시 강남구 도곡동,타워팰리스1,2024-12-01,164.97,420000,42.0,120㎡ 초과
서울특별시 강남구 도곡동,한신(개포),2024-12-01,59.48,248500,24.85,40-60㎡
서울특별시 강남구 도곡동,한신(개포),2024-12-01,59.48,248500,24.85,40-60㎡
서울특별시 강남구 역삼동,역삼푸르지오,2024-12-01,84.9097,255000,25.5,60-85㎡
서울특별시 강남구 세곡동,강남엘에이치1단지,2024-12-01,84.84,148000,14.8,60-85㎡
서울특별시 강남구 청담동,청담아이파크,2024-12-01,110.19,260000,26.0,85-120㎡
서울특별시 강남구 압구정동,"현대7차(73~77,82,85동)",2024-12-01,157.36,658000,65.8,120㎡ 초과
서울특별시 강남구 도곡동,현대비젼21,2024-12-01,32.65,42000,4.2,40㎡ 이하
서울특별시 강남구 대치동,동부센트레빌,2024-12-01,145.83,510000,51.0,120㎡ 초과
서울특별시 강남구 개포동,디에이치아너힐즈,2024-12-01,59.8732,238000,23.8,40-60㎡
서울특별시 강남구 도곡동,타워팰리스1,2024-12-01,174.67,540000,54.0,120㎡ 초과
서울특별시 강남구 역삼동,대우디오빌,2024-12-01,84.986,85000,8.5,60-85㎡
서울특별시 강남구 자곡동,강남한양수자인(4단지),2024-12-01,114.32,188800,18.88,85-120㎡
서울특별시 강남구 논현동,아크로힐스논현,2024-12-01,113.087,327500,32.75,85-120㎡
서울특별시 강남구 삼성동,시티(B동),2024-12-01,157.63,291000,29.1,120㎡ 초과
서울특별시 강남구 대치동,개포우성2,2024-12-01,127.78,470000,47.0,120㎡ 초과
서울특별시 강남구 대치동,상지리츠빌카일룸(1009-4),2024-12-01,178.17,490000,49.0,120㎡ 초과
서울특별시 강남구 청담동,한신오페라하우스,2024-12-01,134.91,250000,25.0,120㎡ 초과
서울특별시 강남구 대치동,동부센트레빌,2024-12-01,121.74,453000,45.3,120㎡ 초과
서울특별시 강남구 대치동,은마,2024-12-01,76.79,269500,26.95,60-85㎡
서울특별시 강남구 자곡동,강남한양수자인(4단지),2024-12-01,84.99,158000,15.8,60-85㎡
서울특별시 강남구 압구정동,"현대5차(71,72동)",2024-12-01,82.23,460000,46.0,60-85㎡
서울특별시 강남구 도곡동,현대비젼21,2024-12-01,33.1,45000,4.5,40㎡ 이하
서울특별시 강남구 도곡동,럭키(963),2024-12-01,124.1,250000,25.0,120㎡ 초과
서울특별시 강남구 논현동,신동아,2024-12-01,242.04,240000,24.0,120㎡ 초과
서울특별시 강남구 역삼동,대명벨리온,2024-12-01,17.684,18700,1.87,40㎡ 이하
서울특별시 강남구 일원동,우성7,2024-12-01,83.69,242000,24.2,60-85㎡
서울특별시 강남구 도곡동,삼성래미안,2024-12-01,84.89,268000,26.8,60-85㎡
서울특별시 강남구 자곡동,강남자곡 힐스테이트,2024-12-01,59.93,104000,10.4,40-60㎡
서울특별시 강남구 개포동,성원대치2단지아파트,2024-12-01,49.86,150000,15.0,40-60㎡
서울특별시 강남구 도곡동,한신엠비씨,2024-12-01,84.74,210500,21.05,60-85㎡
서울특별시 강남구 일원동,우성7,2024-12-01,83.69,242000,24.2,60-85㎡
서울특별시 강남구 압구정동,"현대2차(10,11,20,23,24,25동)",2024-12-01,160.51,678000,67.8,120㎡ 초과
서울특별시 강남구 대치동,래미안대치하이스턴,2024-12-01,110.39,300000,30.0,85-120㎡
서울특별시 강남구 논현동,동현아파트1~6,2024-12-01,119.67,280000,28.0,85-120㎡
서울특별시 강남구 도곡동,현대비젼21,2024-12-01,32.65,45000,4.5,40㎡ 이하
서울특별시 강남구 일원동,샘터마을,2024-12-01,101.97,243000,24.3,85-120㎡
